NCBI_taxonomy_name,fmin,fmax
Staphylococcus gallinarum,252896,254531
Staphylococcus haemolyticus,121,898
Staphylococcus intermedius,207,855
Staphylococcus nepalensis,1364720,1366352
Staphylococcus saprophyticus,84337,84820
Staphylococcus warneri,10027,11077
Staphylococcus xylosus,47992,48725
Stenotrophomonas maltophilia,351,1041
Stenotrophomonas sp.,0,741
Streptoalloteichus tenebrarius,100,748
Streptococcus agalactiae,2655,3863
Streptococcus australis,1236,2967
Streptococcus mutans,1355942,1357304
Streptococcus oralis,110062,110880
Streptococcus pneumoniae,1494215,1496273
Streptococcus pyogenes,755116,755796
Streptococcus suis,2658,3309
Streptococcus uberis,0,495
Streptomyces albulus,429,903
Streptomyces albus,242,1187
Streptomyces ambofaciens,796,2050
Streptomyces antibioticus,710,1890
Streptomyces bikiniensis,22652,23495
Streptomyces cinnamoneus,361,1555
Streptomyces coelicolor,50871,51864
Streptomyces fradiae,459,1419
Streptomyces glaucescens,381,1305
Streptomyces griseus,2710,3565
Streptomyces hygroscopicus,231,1230
Streptomyces kanamyceticus,35,566
Streptomyces laurentii,345,1158
Streptomyces lavendulae,529,1099
Streptomyces lincolnensis,360,1763
Streptomyces lividans,238,1686
Streptomyces netropsis,7525,8518
Streptomyces niveus,0,1848
Streptomyces ribosidificus,372,1164
Streptomyces rimosus,0,1359
Streptomyces sp.,7760,9440
Streptomyces thermotolerans,121,1400
Streptomyces venezuelae,1282,2293
Streptomyces vinaceus,96,960
Streptomyces viridochromogenes,396,1176
Streptomyces wedmorensis,6981,7879
Thermus thermophilus,1400255,1402013
Transposon Tn4551,1120,1984
Treponema pallidum,0,2947
Trueperella pyogenes,4397,5758
Ureaplasma parvum,531446,533999
Ureaplasma urealyticum,104283,106236
Vibrio,0,852
Vibrio alginolyticus,0,779
Vibrio anguillarum,478,1129
Vibrio cholerae,1616,2182
Vibrio diabolicus,0,852
Vibrio fluvialis,655,1453
Vibrio fortis,611061,611910
Vibrio harveyi,531,1447
Vibrio parahaemolyticus,0,852
Vibrio vulnificus,1187563,1191592
Yersinia enterocolitica,11217,12477
Yersinia ruckeri,47103,47967
Yokenella regensburgei,4073465,4074623
hospital metagenome,5046,6690
mixed culture,116,992
sediment metagenome,222,1411
synthetic construct,0,522
unclassified Acinetobacter,296446,297289
uncultured bacterium,55,1200
uncultured organism,797,1793
